Apennines,Imbrium basin rim,4513,1820
Copernicus,Archetypal large complex crater,4093,2056
Tycho,Large rayed crater with impact melts,4324,3415
Altai Scarp,Nectaris basin rim,5187,2926
Theophilus Cyrillus Catharina,Crater sequence illustrating stages of degradation,5222,2642
Clavius,Lacks basin features in spite of its size,4247,3809
Mare Crisium,Mare contained in large circular basin,6118,1843
Aristarchus,Very bright crater with dark bands on its walls,3395,1697
Proclus,Oblique-impact rays,5806,1892
Gassendi,Floor-fractured crater,3581,2755
Sinus Iridum,Very large crater with missing rim,3789,1152
Straight Wall,Best example of a lunar fault,4408,2862
Petavius,Crater with domed & fractured floor,6154,2947
Schröter's Valley,Giant sinuous rille,3308,1633
Mare Serenitatis dark edges,Distinct mare areas with different compositions,5197,1848
Alpine Valley,Lunar graben,4685,1050
Posidonius,Floor-fractured crater,5373,1490
Fracastorius,Crater with subsided & fractured floor,5458,2854
Aristarchus Plateau,Mysterious uplifted region mantled with pyroclastics,3302,1638
Pico,Isolated Imbrium basin-ring fragment,4380,1134
Hyginus Rille,Rille containing rimless collapse pits,4808,2115
Messier & Messier A,Oblique ricochet-impact pair,5827,2353
Mare Frigoris,Arcuate mare of uncertain origin,4644,870
Archimedes,Large crater lacking central peak,4506,1544
Hipparchus,First drawing of a single crater,4731,2445
Aridaeus Rille,Long linear graben,4966,2140
Schiller,Possible oblique impact,3610,3633
Taruntius,Young floor-fractured crater,5798,2161
Arago Alpha & Beta,Volcanic domes,5156,2145
Serpentine Ridge,Basin inner-ring segment,5256,1605
Lacus Mortis,Strange crater with rille & ridge,5304,1152
Triesnecker Rilles,Rille family,4726,2194
Grimaldi basin,A small two-ring basin,2860,2445
Bailly,Barely discernible basin,2839,4006
Sabine & Ritter,Possible twin impacts,5112,2260
Schickard,Crater floor with Orientale basin ejecta stripe,3192,3438
Janssen Rille,Rare example of a highland rille,5614,3466
Bessel ray,Ray of uncertain origin near Bessel,5066,1746
Marius Hills,Complex of volcanic domes & hills,3226,1984
Wargentin,A crater filled to the rim with lava or ejecta,3067,3574
Mersenius,Domed floor cut by secondary craters,3348,2854
Maurolycus,Region of saturation cratering,4966,3379
Regiomontanus central peak,Possible volcanic peak,4593,3021
Alphonsus dark spots,Dark-halo eruptions on crater floor,4526,2655
Cauchy region,Fault rilles & domes,5581,2035
Gruithuisen Delta & Gamma,Volcanic domes formed with viscous lavas,3584,1375
Cayley Plains,Light smooth plains of uncertain origin,4995,2202
Davy crater chain,Result of comet-fragment impacts,4439,2588
Crüger,Possible volcanic caldera,2898,2732
Lamont,Possible buried basin,5215,2191
Hippalus Rilles,Rilles concentric to Humorum basin,3866,2931
Baco,Unusually smooth crater floor & surrounding plains,5097,3610
Australe basin,A partially flooded ancient basin,6771,3579
Reiner Gamma,Conspicuous swirl & magnetic anomaly,3092,2107
Rheita Valley,Basin secondary-crater chain,5926,3392
Schiller-Zucchius basin,Badly degraded overlooked basin,3456,3738
Kies Pi,Volcanic dome,3988,2993
Mösting A,Simple crater close to center of lunar near side,4475,2386
Rümker,Large volcanic dome,3121,1260
Imbrium sculpture,Basin ejecta near & overlying Boscovich & Julius Caesar,4915,2022
Descartes,Apollo 16 landing site; putative region of highland volcanism,5010,2604
Hortensius domes,Dome field north of Hortensius,3894,2109
Hadley Rille,Lava channel near Apollo 15 landing site,4685,1664
Fra Mauro formation,Apollo 14 landing site on Imbrium ejecta,4160,2396
Flamsteed P,Proposed young volcanic crater & Surveyor 1 landing site,3482,2381
Copernicus secondary craters,Rays & craterlets near Pytheas,4119,1802
Humboldtianum basin,Multi-ring impact basin,6656,845
Sulpicius Gallus dark mantle,Ash eruptions northwest of crater,4905,1802
Atlas dark-halo craters,Explosive volcanic pits on the floor of Atlas,5745,1108
Smythii basin,Difficult-to-observe basin scarp & mare,6835,2355
Copernicus H,Dark-halo impact crater,4140,2127
Ptolemaeus B,Saucer like depression on the floor of Ptolemaeus,4588,2509
W. Bond,Large crater degraded by Imbrium ejecta,4703,632
Sirsalis Rille,Procellarum basin radial rilles,3028,2706
Lambert R,A buried ghost crater,4081,1695
Sinus Aestuum,Eastern dark-mantle volcanic deposit,4518,1997
Orientale basin,Youngest large impact basin,2176,2790
Hesiodus A,Concentric crater,4173,3075
Linné,Small crater once thought to have disappeared,4910,1595
Plato craterlets,Crater pits at limits of detection,4367,983
Pitatus,Crater with concentric rilles,4262,3067
Langrenus rays,Aged ray system,6167,2532
Prinz Rilles,Rille system near the crater Prinz,3507,1613
Humboldt,Crater with central peaks & dark spots,6679,2995
Peary,Difficult-to-observe polar crater,5453,36
Valentine Dome,Volcanic dome,4867,1523
Armstrong Aldrin & Collins,Small craters near the Apollo 11 landing site,5215,2271
De Gasparis Rilles,Area with many rilles,3310,2967
Gylden Valley,Part of the Imbrium radial sculpture,4626,2435
Dionysius rays,Unusual & rare dark rays,5051,2232
Drygalski,Large south-pole region crater,2435,4334
Procellarum basin,The Moon's biggest basin?,4224,1715
Leibnitz Mountains,Rim of South Pole-Aitken basin,5376,4480
Inghirami Valley,Orientale basin ejecta,2739,3430
Imbrium lava flows,Mare lava-flow boundaries,4045,1464
Ina,D-shaped young volcanic caldera,4744,1828
Mare Marginis swirls,Possible magnetic field deposits,6861,1830
