Apennines,Imbrium basin rim,18.9N,3.7W
Copernicus,Archetypal large complex crater,9.7N,20.1W
Tycho,Large rayed crater with impact melts,43.4S,11.1W
Altai Scarp,Nectaris basin rim,24.3S,22.6E
Theophilus Cyrillus Catharina,Crater sequence illustrating stages of degradation,13.2S,24.0E
Clavius,Lacks basin features in spite of its size,58.8S,14.1W
Mare Crisium,Mare contained in large circular basin,18.0N,59.0E
Aristarchus,Very bright crater with dark bands on its walls,23.7N,47.4W
Proclus,Oblique-impact rays,16.1N,46.8E
Gassendi,Floor-fractured crater,17.6S,40.1W
Sinus Iridum,Very large crater with missing rim,45.0N,32.0W
Straight Wall,Best example of a lunar fault,21.8S,7.8W
Petavius,Crater with domed & fractured floor,25.1S,60.4E
Schröter's Valley,Giant sinuous rille,26.2N,50.8W
Mare Serenitatis dark edges,Distinct mare areas with different compositions,17.8N,23.0E
Alpine Valley,Lunar graben,49.0N,3.0E
Posidonius,Floor-fractured crater,31.8N,29.9E
Fracastorius,Crater with subsided & fractured floor,21.5S,33.2E
Aristarchus Plateau,Mysterious uplifted region mantled with pyroclastics,26.0N,51.0W
Pico,Isolated Imbrium basin-ring fragment,45.7N,8.9W
Hyginus Rille,Rille containing rimless collapse pits,7.4N,7.8E
Messier & Messier A,Oblique ricochet-impact pair,1.9S,47.6E
Mare Frigoris,Arcuate mare of uncertain origin,56.0N,1.4E
Archimedes,Large crater lacking central peak,29.7N,4.0W
Hipparchus,First drawing of a single crater,5.5S,4.8E
Aridaeus Rille,Long linear graben,6.4N,14.0E
Schiller,Possible oblique impact,51.9S,39.0W
Taruntius,Young floor-fractured crater,5.6N,46.5E
Arago Alpha & Beta,Volcanic domes,6.2N,21.4E
Serpentine Ridge,Basin inner-ring segment,27.3N,25.3E
Lacus Mortis,Strange crater with rille & ridge,45.0N,27.2E
Triesnecker Rilles,Rille family,4.3N,4.6E
Grimaldi basin,A small two-ring basin,5.5S,68.3W
Bailly,Barely discernible basin,66.5S,69.1W
Sabine & Ritter,Possible twin impacts,1.7N,19.7E
Schickard,Crater floor with Orientale basin ejecta stripe,44.3S,55.3W
Janssen Rille,Rare example of a highland rille,45.4S,39.3E
Bessel ray,Ray of uncertain origin near Bessel,21.8N,17.9E
Marius Hills,Complex of volcanic domes & hills,12.5N,54.0W
Wargentin,A crater filled to the rim with lava or ejecta,49.6S,60.2W
Mersenius,Domed floor cut by secondary craters,21.5S,49.2W
Maurolycus,Region of saturation cratering,42.0S,14.0E
Regiomontanus central peak,Possible volcanic peak,28.0S,0.6W
Alphonsus dark spots,Dark-halo eruptions on crater floor,13.7S,3.2W
Cauchy region,Fault rilles & domes,10.5N,38.0E
Gruithuisen Delta & Gamma,Volcanic domes formed with viscous lavas,36.3N,40.0W
Cayley Plains,Light smooth plains of uncertain origin,4.0N,15.1E
Davy crater chain,Result of comet-fragment impacts,11.1S,6.6W
Crüger,Possible volcanic caldera,16.7S,66.8W
Lamont,Possible buried basin,4.4N,23.7E
Hippalus Rilles,Rilles concentric to Humorum basin,24.5S,29.0W
Baco,Unusually smooth crater floor & surrounding plains,51.0S,19.1E
Australe basin,A partially flooded ancient basin,49.8S,84.5E
Reiner Gamma,Conspicuous swirl & magnetic anomaly,7.7N,59.2W
Rheita Valley,Basin secondary-crater chain,42.5S,51.5E
Schiller-Zucchius basin,Badly degraded overlooked basin,56.0S,45.0W
Kies Pi,Volcanic dome,26.9S,24.2W
Mösting A,Simple crater close to center of lunar near side,3.2S,5.2W
