Apennines,Imbrium basin rim,4012,1239
Copernicus,Archetypal large complex crater,3639,1134
Tycho,Large rayed crater with impact melts,3843,530
Altai Scarp,Nectaris basin rim,3582,748
Theophilus Cyrillus Catharina,Crater sequence illustrating stages of degradation,3550,874
Clavius,Lacks basin features in spite of its size,3775,355
Mare Crisium,Mare contained in large circular basin,2753,1229
Aristarchus,Very bright crater with dark bands on its walls,3017,1294
Proclus,Oblique-impact rays,3031,1207
Gassendi,Floor-fractured crater,3184,824
Sinus Iridum,Very large crater with missing rim,3368,1536
Straight Wall,Best example of a lunar fault,3919,776
Petavius,Crater with domed & fractured floor,2722,738
Schröter's Valley,Giant sinuous rille,2940,1322
Mare Serenitatis dark edges,Distinct mare areas with different compositions,3573,1227
Alpine Valley,Lunar graben,4028,1582
Posidonius,Floor-fractured crater,3416,1386
Fracastorius,Crater with subsided & fractured floor,3341,779
Aristarchus Plateau,Mysterious uplifted region mantled with pyroclastics,2935,1320
Pico,Isolated Imbrium basin-ring fragment,3893,1544
Hyginus Rille,Rille containing rimless collapse pits,3919,1108
Messier & Messier A,Oblique ricochet-impact pair,3013,1002
Mare Frigoris,Arcuate mare of uncertain origin,4064,1661
Archimedes,Large crater lacking central peak,4005,1362
Hipparchus,First drawing of a single crater,3987,961
Aridaeus Rille,Long linear graben,3777,1097
Schiller,Possible oblique impact,3209,433
Taruntius,Young floor-fractured crater,3038,1088
Arago Alpha & Beta,Volcanic domes,3609,1095
Serpentine Ridge,Basin inner-ring segment,3520,1335
Lacus Mortis,Strange crater with rille & ridge,3477,1536
Triesnecker Rilles,Rille family,3991,1073
Grimaldi basin,A small two-ring basin,2542,961
Bailly,Barely discernible basin,2524,267
Sabine & Ritter,Possible twin impacts,3648,1043
Schickard,Crater floor with Orientale basin ejecta stripe,2838,520
Janssen Rille,Rare example of a highland rille,3202,507
Bessel ray,Ray of uncertain origin near Bessel,3689,1272
Marius Hills,Complex of volcanic domes & hills,2867,1166
Wargentin,A crater filled to the rim with lava or ejecta,2726,460
Mersenius,Domed floor cut by secondary craters,2976,779
Maurolycus,Region of saturation cratering,3777,546
Regiomontanus central peak,Possible volcanic peak,4082,705
Alphonsus dark spots,Dark-halo eruptions on crater floor,4023,868
Cauchy region,Fault rilles & domes,3231,1143
Gruithuisen Delta & Gamma,Volcanic domes formed with viscous lavas,3186,1437
Cayley Plains,Light smooth plains of uncertain origin,3752,1070
Davy crater chain,Result of comet-fragment impacts,3946,898
Crüger,Possible volcanic caldera,2576,834
Lamont,Possible buried basin,3557,1074
Hippalus Rilles,Rilles concentric to Humorum basin,3436,745
Baco,Unusually smooth crater floor & surrounding plains,3661,444
Australe basin,A partially flooded ancient basin,2173,457
Reiner Gamma,Conspicuous swirl & magnetic anomaly,2749,1112
Rheita Valley,Basin secondary-crater chain,2924,540
Schiller-Zucchius basin,Badly degraded overlooked basin,3072,387
Kies Pi,Volcanic dome,3545,718
Mösting A,Simple crater close to center of lunar near side,3978,988
Rümker,Large volcanic dome,2774,1488
Imbrium sculpture,Basin ejecta near & overlying Boscovich & Julius Caesar,3823,1149
Descartes,Apollo 16 landing site; putative region of highland volcanism,3739,891
Hortensius domes,Dome field north of Hortensius,3461,1110
Hadley Rille,Lava channel near Apollo 15 landing site,4028,1308
Fra Mauro formation,Apollo 14 landing site on Imbrium ejecta,3698,983
Flamsteed P,Proposed young volcanic crater & Surveyor 1 landing site,3095,990
Copernicus secondary craters,Rays & craterlets near Pytheas,3661,1247
Humboldtianum basin,Multi-ring impact basin,2276,1673
Sulpicius Gallus dark mantle,Ash eruptions northwest of crater,3832,1247
Atlas dark-halo craters,Explosive volcanic pits on the floor of Atlas,3086,1555
Smythii basin,Difficult-to-observe basin scarp & mare,2116,1001
Copernicus H,Dark-halo impact crater,3680,1103
Ptolemaeus B,Saucer like depression on the floor of Ptolemaeus,4078,933
W. Bond,Large crater degraded by Imbrium ejecta,4012,1767
Sirsalis Rille,Procellarum basin radial rilles,2692,845
Lambert R,A buried ghost crater,3627,1295
Sinus Aestuum,Eastern dark-mantle volcanic deposit,4016,1161
Orientale basin,Youngest large impact basin,1934,808
Hesiodus A,Concentric crater,3709,682
Linné,Small crater once thought to have disappeared,3827,1339
Plato craterlets,Crater pits at limits of detection,3882,1611
Pitatus,Crater with concentric rilles,3789,685
Langrenus rays,Aged ray system,2710,923
Prinz Rilles,Rille system near the crater Prinz,3118,1331
Humboldt,Crater with central peaks & dark spots,2255,717
Peary,Difficult-to-observe polar crater,3345,2032
Valentine Dome,Volcanic dome,3866,1371
Armstrong Aldrin & Collins,Small craters near the Apollo 11 landing site,3557,1039
De Gasparis Rilles,Area with many rilles,2942,729
Gylden Valley,Part of the Imbrium radial sculpture,4080,966
Dionysius rays,Unusual & rare dark rays,3702,1056
Drygalski,Large south-pole region crater,2164,122
Procellarum basin,The Moon's biggest basin?,3755,1286
Leibnitz Mountains,Rim of South Pole-Aitken basin,3413,57
Inghirami Valley,Orientale basin ejecta,2435,523
Imbrium lava flows,Mare lava-flow boundaries,3595,1397
Ina,D-shaped young volcanic caldera,3975,1236
Mare Marginis swirls,Possible magnetic field deposits,2094,1234
